sample	TCGA-FV-A495-01	TCGA-G3-A3CH-11	TCGA-CC-A3MB-01
55160	11.1818	11.0186	11.243
64344	5.2482	5.3847	4.0013
56163	4.1956	0	0
9921	11.5047	11.669	12.0791
26994	9.5995	11.398	9.8248
11342	9.6257	10.8249	10.5608
2970	11.8053	11.5487	12.1228
28954	5.6835	3.5408	3.5582
246754	0	1.4714	0
349667	8.7486	7.9144	7.9795
NA	11.8009	9.7438	8.9612
NA	0	0	0
26127	7.679	8.7514	8.2857
60385	2.3036	2.8491	0.4699
546	8.2598	9.6062	10.0395
5373	10.3392	10.0287	10.4373
NA	4.9505	3.4265	4.9008
445	13.3933	16.5906	13.2551
4686	9.0609	9.7025	9.2304
163051	5.3904	5.0013	4.2839
7562	4.4244	5.6624	5.4758
10432	10.1028	10.0042	10.1424
22916	9.3988	9.5797	9.8155
27185	6.0948	6.4719	5.2464
8536	10.2653	9.8402	9.3862
6167	15.1669	13.3135	13.7649
6697	10.8215	11.1578	10.5243
90592	7.8996	7.5618	8.1651
286075	7.0151	6.9773	7.5642
814	3.1496	5.3222	1.5484
619279	4.1956	5.6874	6.563
NA	0	0.9157	0.4699
55889	0	5.3538	2.4905
27246	7.1492000000000004	8.2862	9.4767
7732	5.3904	3.7454	2.3881
79882	8.6246	10.2442	10.3801
6693	6.7134	7.6974	5.3037
54511	2.7031	3.3023	0
NA	8.1561	7.0754	7.7251
347730	1.3645	0.9157	0
2902	3.4901	0	0
286557	0	0	0
1659	9.6765	9.1188	9.6546
1660	10.3393	10.971	11.3347
NA	3.3853	2.1846	1.1077
6949	10.5103	8.835	10.5809
347731	0	0.9157	0
4928	9.6584	11.0254	11.0427
7508	9.8103	10.2262	9.5452
6558	9.3836	8.3106	9.6056
2907	13.5803	13.5054	13.5323
26045	0	1.8717	1.5484
9688	8.3942	8.3306	9.0633
9001	1.7494	2.1846	2.278
NA	2.053	3.4265	4.5441
79012	0	0	0.4699
121665	9.7861	9.4882	9.5753
27333	3.7654	10.6044	10.7722
9726	8.132	7.4271	8.5648
80207	9.7162	8.7779	9.531
4976	9.5534	10.8319	10.6555
6009	10.1453	9.6078	11.2183
57799	9.7588	8.6595	8.7772
10966	8.8457	8.2191	8.5938
142684	0.8379	0.9157	1.5484
1294	5.8699	1.4714	2.9873
145553	8.5641	7.5722	6.5736
51512	6.4788	3.1665	9.0508
NA	0	0.9157	2.0285
10139	10.9349	9.629	10.3079
341350	0	0	0
NA	1.3645	1.8717	0
5660	15.0369	15.2878	14.747
NA	7.6567	8.4561	7.7968
84888	9.9763	10.8857	10.4713
113235	10.1772	10.6923	12.1356
7048	9.8735	11.4724	10.6824
8516	0	2.8491	3.8554
3680	6.9057	7.8548	5.8381
83931	10.4652	10.9217	10.0177
140469	0.8379	0.9157	2.9873
487	2.3036	1.4714	1.7268
488	10.824	12.5414	12.8887
489	9.3404	8.5443	6.9339
3672	10.5698	11.0415	10.8806
3673	5.1872	5.079	7.2324
3675	8.8432	7.3111	5.8478
3676	6.07	8.0083	6.0573
3678	11.8224	10.5978	12.2564
3655	9.5937	9.6782	10.9534
3679	8.2261	7.4996	6.1511
7201	0	0	0
NA	8.7903	6.7104	6.4276
10260	6.9795	9.5813	9.862
9909	9.6414	8.8628	10.3742
55667	8.04	9.5095	9.2056
23075	8.7748	8.8573	9.6914
5918	7.1086	6.2378	4.5677
100132287	7.9647	6.8389	7.9484
23612	11.0428	8.2319	5.6183
7262	6.8378	4.1574	7.4796
51204	11.6397	10.6457	9.7021
5372	11.7267	10.2641	11.5051
2596	4.1322	0	0.4699
29937	12.4286	10.2662	9.5452
6713	9.7654	8.1168	11.9488
10573	12.6528	10.5076	10.4389
NA	5.5444	5.079	3.8165
222235	0	1.4714	0.8237
54850	8.3496	8.3851	8.6722
79176	10.7441	8.3542	8.0335
1594	4.3145	2.4416	3.3008
64839	8.8182	9.2736	9.1441
146330	7.5993	4.0838	1.5484
26049	6.5165	7.582	7.3288
NA	7.5993	6.5145	6.7397
NA	8.3215	8.3385	7.8289
NA	1.7494	2.1846	0.8237
57186	4.1956	8.6436	9.7246
84514	10.7962	9.7733	9.9873
283120	14.4323	14.713	18.8971
54549	4.754	4.9191	2.9155
2922	0.8379	0	0
286262	10.1015	7.8548	8.3484
79875	7.521	9.2444	9.3589
NA	6.6916	5.712	6.4662
83539	8.4698	8.2572	8.8085
64377	3.6793	1.4714	0.4699
1287	4.0659	5.2229	3.2433
1286	7.0326	6.7347	4.367
1285	2.053	4.0064	1.1077
1284	13.3795	10.6337	12.2193
1282	12.5033	10.3809	12.1936
11046	10.8038	10.2474	10.247
8534	7.3436	4.7393	6.2123
345462	5.3904	4.294	1.5484
9469	7.8114	6.8164	5.607
9435	7.0498	6.3201	6.4595
23563	0.8379	0.9157	2.6758
10164	7.3917	8.4597	1.7268
