SYMBOL	ENTREZID
ARHGEF10L	55160
HIF3A	64344
RNF17	56163
RNF10	9921
RNF11	26994
RNF13	11342
GTF2IP1	2970
REM1	28954
MTVR2	246754
RTN4RL2	349667
FGFR1OP2	26127
TSKS	60385
ATRX	546
PMM2	5373
ASS1	445
NCBP1	4686
ZNF709	163051
ZNF708	7562
RBM14	10432
NCBP2	22916
DISC1	27185
CAMK1	8536
RPL37	6167
SPR	6697
ZNF700	90592
ZNF707	286075
CAMK4	814
ZNF704	619279
GOLGA6B	55889
RNF115	27246
RNF112	7732
ZC3H14	79882
SPN	6693
HMGCLL1	54511
LRRTM1	347730
GRIN1	2902
RBMY1A3P	286557
DHX8	1659
DHX9	1660
TCOF1	6949
LRRTM3	347731
NUP98	4928
XPC	7508
SLC12A2	6558
GRINA	2907
LRRTM2	26045
NUP93	9688
HAP1	9001
CAMKV	79012
SPPL3	121665
GOLIM4	27333
ZNF646	9726
OPA3	80207
OPA1	4976
RHEB	6009
RAB40C	57799
RAB40B	10966
RAB40A	142684
COL7A1	1294
MDP1	145553
GTSE1	51512
ARFRP1	10139
OVCH1	341350
PSAP	5660
SPPL2A	84888
SLC46A1	113235
TGFBR2	7048
ITGA8	8516
ITGA9	3680
STK40	83931
MYO3B	140469
ATP2A1	487
ATP2A2	488
ATP2A3	489
ITGA1	3672
ITGA2	3673
ITGA3	3675
ITGA4	3676
ITGA5	3678
ITGA6	3655
ITGA7	3679
TRHR	7201
DENND4A	10260
DENND4B	9909
DENND4C	55667
SWAP70	23075
RARRES1	5918
LOC100132287	100132287
PHLDA3	23612
PHLDA2	7262
TACO1	51204
PMM1	5372
GAP43	2596
NENF	29937
SQLE	6713
MRPL28	10573
FBXL13	222235
FBXL12	54850
FBXL15	79176
CYP27B1	1594
FBXL17	64839
FBXL16	146330
FAM169A	26049
RALGAPA2	57186
GHDC	84514
H19	283120
SDK2	54549
GRP	2922
TPRN	286262
THSD4	79875
CHST9	83539
CHST8	64377
COL4A5	1287
COL4A4	1286
COL4A3	1285
COL4A2	1284
COL4A1	1282
SLC35D2	11046
CHST1	8534
ZNF879	345462
CHST3	9469
CHST2	9435
CHST5	23563
CHST4	10164
CHST7	56548
CHST6	4166
ITGAX	3687
OR8J1	219477
SNORD115-17	100033455
BCL2A1	597
GPSM2	29899
HLCS	3141
NOG	9241
LIPG	9388
ITGAV	3685
HIBCH	26275
ZNF703	80139
ITGAL	3683
ITGAM	3684
LOC286359	286359
HLF	3131
SERPING1	710
SMAD9	4093
TRERF1	55809
LRPAP1	4043
SMAD6	4091
SMAD7	4092
GOLPH3L	55204
SMAD1	4086
AFTPH	54812
SMAD3	4088
MUS81	80198
AMMECR1L	83607
IL1RAPL1	11141
TMPRSS11B	132724
IGF2R	3482
TMPRSS11D	9407
TMPRSS11F	389208
ZC3H10	84872
RAD21L1	642636
IL1RAPL2	26280
SLC36A3	285641
CKS1B	1163
SLC36A1	206358
ST13	6767
RPL31P11	641311
ZC3H15	55854
TMEM213	155006
ARTN	9048
ART1	417
HRH3	11255
ART3	419
HERC2P2	400322
ART5	116969
ART4	420
RNF111	54778
TCEA2	6919
TCEA3	6920
TCEA1	6917
COX4I2	84701
COX4I1	1327
BFAR	51283
ZC3H18	124245
TMEM212	389177
SNORD115-13	100033450
SIPA1	6494
CRTAM	56253
EDA	1896
OR6P1	128366
CCDC116	164592
CADPS2	93664
CCDC115	84317
CCDC112	153733
CCDC110	256309
LEO1	123169
ATP1A4	480
ATP1A3	478
ATP1A2	477
ATP1A1	476
MGRN1	23295
TCP1	6950
CRTAP	10491
CBLC	23624
SPHK1	8877
DPT	1805
BPESC1	60467
CUEDC1	404093
CUEDC2	79004
CBLB	868
CPEB4	80315
CPEB1	64506
ZNF45	7596
CPEB3	22849
CPEB2	132864
BEGAIN	57596
RBMXL3	139804
OSGEP	55644
ABAT	18
ZNF780A	284323
ZNF780B	163131
TLN2	83660
FRG1	2483
FRG2	448831
RHEBL1	121268
ZNF41	7592
IFT80	57560
FBRS	64319
ZNF414	84330
IFT88	8100
IL10RA	3587
POU5F1B	5462
SP1	6667
SLC27A4	10999
SP2	6668
OLA1	29789
PNOC	5368
CNTF	1270
MCM10	55388
PDIA5	10954
SP4	6671
TMEM38B	55151
THUMPD3	25917
IGFBPL1	347252
SP5	389058
ATG4C	84938
ATG4B	23192
ATG4A	115201
THUMPD2	80745
ATG4D	84971
PHOX2A	401
PHOX2B	8929
SNORD114-31	767612
SNORD114-30	767611
LRGUK	136332
MPHOSPH8	54737
UPK2	7379
CFH	3075
CFI	3426
PNP	4860
ANKFY1	51479
CFB	629
OR5P3	120066
OR5P2	120065
SNORD115-6	100033443
CREBBP	1387
PNN	5411
